CSIRO vegetation type,,,,,,,,,,,,,,,,,,,,
CSIRO,"(ice,water,urban:0)/grass:1/shrub:2/woody:3",,,,,,,,,,,,,,,,,,,
CSIRO type,,,,,,,,,,,,,,,,,,,,
,gc/gn,g C/gN,gC/gN,fraction,fraction,fraction,g lignin/gC,g lignin/gC,g lignin/gC,gC/gN,gC/gN,gC/gN,gC/gN,gC/gN,gC/gN,gC/gN,gC/gN,gC/gN,m2/m2,m2/m2
1,55,730.1,313,0.5,0.95,0.9,0.25,0.4,0.25,5.4,26.91,26.91,3,10,10,10,30,30,7,1
2,32.7,550.9,181.2,0.5,0.95,0.9,0.2,0.4,0.2,7.71,13.54,13.54,3,10,10,10,30,30,7,1
3,30,730.8,313,0.5,0.95,0.9,0.2,0.4,0.2,7.11,26.91,26.91,3,10,10,10,30,30,7,0.5
4,23.2,550.2,181.2,0.5,0.95,0.9,0.2,0.4,0.2,6.69,16.2,16.2,3,10,10,10,30,30,7,0.5
5,37.6,142.1,67.1,0.5,0.95,0.9,0.2,0.4,0.2,6.17,16.63,16.63,3,10,10,10,30,30,3,0.1
6,34.8,150,64.5,0.5,0.95,0.9,0.1,0.4,0.1,5.66,11.4,11.4,3,10,10,10,30,30,3,0.1
7,44,150,62.7,0.5,0.95,0.9,0.1,0.4,0.1,6,13.29,13.29,3,10,10,10,30,30,3,0.1
8,25,147.3,69,0.5,0.95,0.9,0.1,0.4,0.1,8.06,20.91,20.91,3,10,10,10,30,30,3,0.1
9,35,150,60.7,0.5,0.95,0.9,0.1,0.4,0.1,6.17,10.71,10.71,3,10,10,10,30,30,6,0.1
10,25,125,71,0.5,0.95,0.9,0.1,0.4,0.1,6.51,14.06,14.06,3,10,10,10,30,30,6,0.1
11,30,150,71,0.5,0.95,0.9,0.15,0.4,0.15,6.51,14.06,14.06,3,10,10,10,30,30,5,0.05
12,30,150,71,0.5,0.95,0.9,0.15,0.4,0.15,6.51,14.06,14.06,3,10,10,10,30,30,5,0.05
13,30,150,71,0.5,0.95,0.9,0.15,0.4,0.15,6.51,14.06,14.06,3,10,10,10,30,30,5,0.05
