Lat	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	FALL	FALL	FALL	FALL	FALL	FALL	FALL	FALL	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1
51.25	142	123	151	133	133	133	124	124	234	221	232	217	217	217	215	215	0	0	0	0	0	0	0	0
50.75	142	122	149	131	131	131	123	123	234	221	230	215	215	215	215	215	0	0	0	0	0	0	0	0
50.25	141	121	146	129	129	129	121	121	234	222	228	213	213	213	216	216	0	0	0	0	0	0	0	0
49.75	141	120	143	127	127	127	120	120	233	222	226	212	212	212	217	217	0	0	0	0	0	0	0	0
49.25	140	119	141	125	125	125	119	119	233	222	225	211	211	211	218	218	0	0	0	0	0	0	0	0
48.75	139	119	138	124	124	124	119	119	233	222	222	209	209	209	219	219	0	0	0	0	0	0	0	0
48.25	139	119	135	122	122	122	118	118	232	222	220	208	208	208	220	220	0	0	0	0	0	0	0	0
47.75	138	119	132	120	120	120	118	118	232	223	217	207	207	207	222	222	0	0	0	0	0	0	0	0
47.25	138	119	129	118	118	118	118	118	232	223	215	205	205	205	223	223	0	0	0	0	0	0	0	0
46.75	138	119	127	118	118	118	118	118	231	224	213	205	205	205	224	224	0	0	0	0	0	0	0	0
46.25	137	119	124	117	117	117	118	118	230	224	210	205	205	205	226	226	0	0	0	0	0	0	0	0
45.75	136	119	121	116	116	116	118	118	229	226	206	205	205	205	227	227	0	0	0	0	0	0	0	0
45.25	136	120	117	116	116	116	117	117	229	227	203	205	205	205	229	229	0	0	0	0	0	0	0	0
44.75	136	120	115	116	116	116	117	117	228	227	200	206	206	206	230	230	0	0	0	0	0	0	0	0
44.25	135	119	112	115	115	115	117	117	227	228	197	206	206	206	230	230	0	0	0	0	0	0	0	0
43.75	135	119	109	115	115	115	116	116	226	228	194	206	206	206	231	231	0	0	0	0	0	0	0	0
43.25	134	119	107	115	115	115	116	116	226	228	192	206	206	206	232	232	0	0	0	0	0	0	0	0
42.75	133	118	106	114	114	114	115	115	225	228	191	207	207	207	233	233	0	0	0	0	0	0	0	0
42.25	133	117	104	114	114	114	114	114	225	228	187	207	207	207	233	233	0	0	0	0	0	0	0	0
41.75	132	116	102	113	113	113	112	112	224	227	186	208	208	208	232	232	0	0	0	0	0	0	0	0
41.25	132	115	101	113	113	113	111	111	225	227	184	209	209	209	233	233	0	0	0	0	0	0	0	0
40.75	131	113	100	112	112	112	109	109	224	226	180	210	210	210	234	234	0	0	0	0	0	0	0	0
40.25	131	112	98	111	111	111	108	108	224	226	176	210	210	210	234	234	0	0	0	0	0	0	0	0
39.75	131	111	95	110	110	110	107	107	225	226	172	211	211	211	235	235	0	0	0	0	0	0	0	0
39.25	131	109	92	110	110	110	105	105	226	225	167	213	213	213	235	235	0	0	0	0	0	0	0	0
38.75	131	107	89	110	110	110	103	103	226	225	163	215	215	215	236	236	0	0	0	0	0	0	0	0
