"age", "time", "value"
3.000000000000000000e+00,9.000000000000000000e+00,3.461700842505154863e-01
3.000000000000000000e+00,1.000000000000000000e+01,3.452985230396778404e-01
4.000000000000000000e+00,0.000000000000000000e+00,3.052606481455702372e-03
4.000000000000000000e+00,1.000000000000000000e+00,1.016312379047091055e-02
4.000000000000000000e+00,2.000000000000000000e+00,2.939217666600606182e-02
4.000000000000000000e+00,3.000000000000000000e+00,7.993940344187158709e-02
4.000000000000000000e+00,4.000000000000000000e+00,2.107724998696190177e-01
4.000000000000000000e+00,5.000000000000000000e+00,2.771024616182731215e-01
4.000000000000000000e+00,6.000000000000000000e+00,2.894400670046272661e-01
4.000000000000000000e+00,7.000000000000000000e+00,3.001926327954642093e-01
4.000000000000000000e+00,8.000000000000000000e+00,3.086916161828122673e-01
4.000000000000000000e+00,9.000000000000000000e+00,3.144085868809497475e-01
4.000000000000000000e+00,1.000000000000000000e+01,3.169880992015776111e-01
5.000000000000000000e+00,0.000000000000000000e+00,1.122991166514246669e-03
5.000000000000000000e+00,1.000000000000000000e+00,3.738803451734349758e-03
5.000000000000000000e+00,2.000000000000000000e+00,1.081277519802269736e-02
5.000000000000000000e+00,3.000000000000000000e+00,2.940806259459533001e-02
5.000000000000000000e+00,4.000000000000000000e+00,7.753886988928948565e-02
5.000000000000000000e+00,5.000000000000000000e+00,2.010344533263390965e-01
5.000000000000000000e+00,6.000000000000000000e+00,2.580899738656092790e-01
5.000000000000000000e+00,7.000000000000000000e+00,2.687024980058954626e-01
5.000000000000000000e+00,8.000000000000000000e+00,2.779516109246503719e-01
5.000000000000000000e+00,9.000000000000000000e+00,2.852622433589272477e-01
5.000000000000000000e+00,1.000000000000000000e+01,2.901798519922033637e-01
6.000000000000000000e+00,0.000000000000000000e+00,4.131253627777272102e-04
6.000000000000000000e+00,1.000000000000000000e+00,1.375428774546687792e-03
6.000000000000000000e+00,2.000000000000000000e+00,3.977796518978332987e-03
6.000000000000000000e+00,3.000000000000000000e+00,1.081861946452243421e-02
6.000000000000000000e+00,4.000000000000000000e+00,2.852495552489021577e-02
6.000000000000000000e+00,5.000000000000000000e+00,7.395644303738976855e-02
6.000000000000000000e+00,6.000000000000000000e+00,1.899420698060620971e-01
6.000000000000000000e+00,7.000000000000000000e+00,2.405067653321587007e-01
6.000000000000000000e+00,8.000000000000000000e+00,2.499119762962309921e-01
6.000000000000000000e+00,9.000000000000000000e+00,2.581088794228874050e-01
6.000000000000000000e+00,1.000000000000000000e+01,2.645878295439055283e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.519803275924196811e-04
7.000000000000000000e+00,1.000000000000000000e+00,5.059908710952688328e-04
7.000000000000000000e+00,2.000000000000000000e+00,1.463351974542416488e-03
7.000000000000000000e+00,3.000000000000000000e+00,3.979947083018005836e-03
7.000000000000000000e+00,4.000000000000000000e+00,1.049374266001120055e-02
7.000000000000000000e+00,5.000000000000000000e+00,2.720705536162675714e-02
7.000000000000000000e+00,6.000000000000000000e+00,6.987578397164168065e-02
7.000000000000000000e+00,7.000000000000000000e+00,1.784905232061979041e-01
7.000000000000000000e+00,8.000000000000000000e+00,2.241902670857531255e-01
7.000000000000000000e+00,9.000000000000000000e+00,2.326905802272519752e-01
7.000000000000000000e+00,1.000000000000000000e+01,2.400988389900841624e-01
8.000000000000000000e+00,0.000000000000000000e+00,5.591043798375208170e-05
8.000000000000000000e+00,1.000000000000000000e+00,1.861424617350800287e-04
8.000000000000000000e+00,2.000000000000000000e+00,5.383368858605349283e-04
8.000000000000000000e+00,3.000000000000000000e+00,1.464139891591038781e-03
8.000000000000000000e+00,4.000000000000000000e+00,3.860431429926427464e-03
8.000000000000000000e+00,5.000000000000000000e+00,1.000891465539819822e-02
8.000000000000000000e+00,6.000000000000000000e+00,2.570586459133840720e-02
8.000000000000000000e+00,7.000000000000000000e+00,6.566299527688829185e-02
8.000000000000000000e+00,8.000000000000000000e+00,1.672016348779863659e-01
8.000000000000000000e+00,9.000000000000000000e+00,2.090186183005222631e-01
8.000000000000000000e+00,1.000000000000000000e+01,2.167967247694238819e-01
9.000000000000000000e+00,0.000000000000000000e+00,2.056830068111329860e-05
9.000000000000000000e+00,1.000000000000000000e+00,6.847749809294171751e-05
9.000000000000000000e+00,2.000000000000000000e+00,1.980430297407760457e-04
9.000000000000000000e+00,3.000000000000000000e+00,5.386205528525771571e-04
9.000000000000000000e+00,4.000000000000000000e+00,1.420172999614637737e-03
9.000000000000000000e+00,5.000000000000000000e+00,3.682073192714279113e-03
9.000000000000000000e+00,6.000000000000000000e+00,9.456658406842262735e-03
9.000000000000000000e+00,7.000000000000000000e+00,2.415606641157760220e-02
9.000000000000000000e+00,8.000000000000000000e+00,6.151004505772974390e-02
9.000000000000000000e+00,9.000000000000000000e+00,1.563383878974379526e-01
9.000000000000000000e+00,1.000000000000000000e+01,1.948945585781533818e-01
1.000000000000000000e+01,0.000000000000000000e+00,7.566654960414156762e-06
1.000000000000000000e+01,1.000000000000000000e+00,2.519114756622889293e-05
1.000000000000000000e+01,2.000000000000000000e+00,7.285609065325067532e-05
1.000000000000000000e+01,3.000000000000000000e+00,1.981507880216890993e-04
1.000000000000000000e+01,4.000000000000000000e+00,5.224483573748781810e-04
1.000000000000000000e+01,5.000000000000000000e+00,1.354558524679728981e-03
1.000000000000000000e+01,6.000000000000000000e+00,3.478909095383272976e-03
1.000000000000000000e+01,7.000000000000000000e+00,8.886519733755924785e-03
1.000000000000000000e+01,8.000000000000000000e+00,2.262828120206910806e-02
1.000000000000000000e+01,9.000000000000000000e+00,5.751367961080359331e-02
1.000000000000000000e+01,1.000000000000000000e+01,1.460229019373842363e-01
