"age", "time", "value"
3.000000000000000000e+00,1.000000000000000000e+01,nan
4.000000000000000000e+00,0.000000000000000000e+00,2.107724998696190177e-01
4.000000000000000000e+00,1.000000000000000000e+00,2.771024616182731215e-01
4.000000000000000000e+00,2.000000000000000000e+00,2.894400670046272661e-01
4.000000000000000000e+00,3.000000000000000000e+00,3.001926327954642093e-01
4.000000000000000000e+00,4.000000000000000000e+00,3.086916161828122673e-01
4.000000000000000000e+00,5.000000000000000000e+00,3.144085868809497475e-01
4.000000000000000000e+00,6.000000000000000000e+00,3.169880992015776111e-01
4.000000000000000000e+00,7.000000000000000000e+00,nan
4.000000000000000000e+00,8.000000000000000000e+00,nan
4.000000000000000000e+00,9.000000000000000000e+00,nan
4.000000000000000000e+00,1.000000000000000000e+01,nan
5.000000000000000000e+00,0.000000000000000000e+00,2.010344533263390965e-01
5.000000000000000000e+00,1.000000000000000000e+00,2.580899738656092790e-01
5.000000000000000000e+00,2.000000000000000000e+00,2.687024980058954626e-01
5.000000000000000000e+00,3.000000000000000000e+00,2.779516109246503719e-01
5.000000000000000000e+00,4.000000000000000000e+00,2.852622433589272477e-01
5.000000000000000000e+00,5.000000000000000000e+00,2.901798519922033637e-01
5.000000000000000000e+00,6.000000000000000000e+00,nan
5.000000000000000000e+00,7.000000000000000000e+00,nan
5.000000000000000000e+00,8.000000000000000000e+00,nan
5.000000000000000000e+00,9.000000000000000000e+00,nan
5.000000000000000000e+00,1.000000000000000000e+01,nan
6.000000000000000000e+00,0.000000000000000000e+00,1.899420698060620971e-01
6.000000000000000000e+00,1.000000000000000000e+00,2.405067653321587007e-01
6.000000000000000000e+00,2.000000000000000000e+00,2.499119762962309921e-01
6.000000000000000000e+00,3.000000000000000000e+00,2.581088794228874050e-01
6.000000000000000000e+00,4.000000000000000000e+00,2.645878295439055283e-01
6.000000000000000000e+00,5.000000000000000000e+00,nan
6.000000000000000000e+00,6.000000000000000000e+00,nan
6.000000000000000000e+00,7.000000000000000000e+00,nan
6.000000000000000000e+00,8.000000000000000000e+00,nan
6.000000000000000000e+00,9.000000000000000000e+00,nan
6.000000000000000000e+00,1.000000000000000000e+01,nan
7.000000000000000000e+00,0.000000000000000000e+00,1.784905232061979041e-01
7.000000000000000000e+00,1.000000000000000000e+00,2.241902670857531255e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.326905802272519752e-01
7.000000000000000000e+00,3.000000000000000000e+00,2.400988389900841624e-01
7.000000000000000000e+00,4.000000000000000000e+00,nan
7.000000000000000000e+00,5.000000000000000000e+00,nan
7.000000000000000000e+00,6.000000000000000000e+00,nan
7.000000000000000000e+00,7.000000000000000000e+00,nan
7.000000000000000000e+00,8.000000000000000000e+00,nan
7.000000000000000000e+00,9.000000000000000000e+00,nan
7.000000000000000000e+00,1.000000000000000000e+01,nan
8.000000000000000000e+00,0.000000000000000000e+00,1.672016348779863659e-01
8.000000000000000000e+00,1.000000000000000000e+00,2.090186183005222631e-01
8.000000000000000000e+00,2.000000000000000000e+00,2.167967247694238819e-01
8.000000000000000000e+00,3.000000000000000000e+00,nan
8.000000000000000000e+00,4.000000000000000000e+00,nan
8.000000000000000000e+00,5.000000000000000000e+00,nan
8.000000000000000000e+00,6.000000000000000000e+00,nan
8.000000000000000000e+00,7.000000000000000000e+00,nan
8.000000000000000000e+00,8.000000000000000000e+00,nan
8.000000000000000000e+00,9.000000000000000000e+00,nan
8.000000000000000000e+00,1.000000000000000000e+01,nan
9.000000000000000000e+00,0.000000000000000000e+00,1.563383878974379526e-01
9.000000000000000000e+00,1.000000000000000000e+00,1.948945585781533818e-01
9.000000000000000000e+00,2.000000000000000000e+00,nan
9.000000000000000000e+00,3.000000000000000000e+00,nan
9.000000000000000000e+00,4.000000000000000000e+00,nan
9.000000000000000000e+00,5.000000000000000000e+00,nan
9.000000000000000000e+00,6.000000000000000000e+00,nan
9.000000000000000000e+00,7.000000000000000000e+00,nan
9.000000000000000000e+00,8.000000000000000000e+00,nan
9.000000000000000000e+00,9.000000000000000000e+00,nan
9.000000000000000000e+00,1.000000000000000000e+01,nan
1.000000000000000000e+01,0.000000000000000000e+00,1.460229019373842363e-01
1.000000000000000000e+01,1.000000000000000000e+00,nan
1.000000000000000000e+01,2.000000000000000000e+00,nan
1.000000000000000000e+01,3.000000000000000000e+00,nan
1.000000000000000000e+01,4.000000000000000000e+00,nan
1.000000000000000000e+01,5.000000000000000000e+00,nan
1.000000000000000000e+01,6.000000000000000000e+00,nan
1.000000000000000000e+01,7.000000000000000000e+00,nan
1.000000000000000000e+01,8.000000000000000000e+00,nan
1.000000000000000000e+01,9.000000000000000000e+00,nan
1.000000000000000000e+01,1.000000000000000000e+01,nan
